//*[==========================================================================]
//* MU Online - EvilDemon - 2025                                                                                       
//*[==========================================================================]

0
//====================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   SetAttr   DW   DK   FE   MG   DL   SU   RF
//====================================================================================================================================================================================================================================================================================================================================================
12       0      19      1       3        1            1            1          "Heliacal Sword"                     56      73          98          25            66           0                 0                 0          140           0              0           0             0               0      0       1       0       1       0       0       0
13       0      22      1       3        1            1            1          "Double Blade"                       48      48          56          30            43           0                 0                 0          70            70             0           0             0               0      0       1       1       1       0       0       0
14       0      22      1       3        1            1            1          "Lighting Sword"                     59      59          67          30            50           0                 0                 0          90            50             0           0             0               0      0       1       1       1       0       0       0
15       0      23      1       3        1            1            1          "Giant Sword"                        52      60          85          20            60           0                 0                 0          140           0              0           0             0               0      0       1       0       1       0       0       0
16       0      22      1       4        1            1            1          "Sword of Destruction"               82      82          90          35            84           0                 0                 0          160           60             0           0             0               0      0       1       0       1       0       0       0
17       0      23      1       4        1            1            1          "Dark Breaker"                       104     128         153         40            89           0                 0                 0          180           50             0           0             0               0      0       1       0       0       0       0       0
18       0      23      1       3        1            1            1          "Thunder Blade"                      105     140         168         40            86           0                 0                 0          180           50             0           0             0               0      0       0       0       1       0       0       0
19       0      22      1       4        1            1            1          "Divine Sword of Archangel"          86      220         230         45            168          0                 0                 0          140           50             0           0             0               0      0       2       0       1       1       0       0
20       0      22      1       4        1            1            1          "Knight Blade"                       140     107         115         35            90           0                 0                 0          116           38             0           0             0               0      0       2       0       0       0       0       0
21       0      56      1       4        1            1            1          "Dark Reign Blade"                   140     115         142         40            100          0                 115               0          116           53             9           0             0               0      0       0       0       1       0       0       0
22       0      22      1       4        1            1            1          "Bone Blade"                         147     122         135         40            95           0                 0                 0          100           35             0           0             0               0      0       2       0       0       0       0       0
23       0      56      1       4        1            1            1          "Explosion Blade"                    147     127         155         45            110          0                 134               0          98            48             7           0             0               0      0       0       0       1       0       0       0
24       0      22      1       4        1            1            1          "Daybreak"                           115     182         218         40            90           0                 0                 0          192           30             0           0             0               0      0       2       0       0       0       0       0
25       0      56      1       4        1            1            1          "Sword Dancer"                       115     109         136         40            90           0                 108               0          136           57             9           0             0               0      0       0       0       1       0       0       0
26       0      22      1       4        1            1            1          "Flameberge"                         137     115         126         40            90           0                 0                 0          193           53             0           0             0               0      0       2       0       0       0       0       0
27       0      22      1       4        1            1            1          "Sword Breaker"                      133     91          99          35            90           0                 0                 0          53            176            0           0             0               0      0       2       0       0       0       0       0
28       0      56      1       4        1            1            1          "Rune Bastard Sword"                 139     98          122         45            90           0                 109               0          91            73             17          0             0               0      0       0       0       1       0       0       0
29       0      22      1       4        1            1            0          "Sonic Blade"                        149     109         116         35            80           0                 0                 0          49            162            0           0             0               0      0       2       0       0       0       0       0
30       0      56      1       4        1            1            0          "Asura"                              149     115         140         45            90           0                 112               0          86            70             16          0             0               0      0       0       0       1       0       0       0
31       0      56      1       4        1            1            1          "Rune Blade"                         100     104         130         35            93           0                 104               0          135           62             9           0             0               0      0       2       0       1       1       0       0
32       0      260     1       2        1            1            1          "Sacred Glove"                       52      52          58          25            65           0                 0                 0          85            35             0           0             0               0      0       0       0       0       0       0       1
33       0      261     1       2        1            1            1          "Holly Storm Claws"                  82      82          88          30            77           0                 0                 0          100           50             0           0             0               0      0       0       0       0       0       0       1
34       0      260     1       2        1            1            1          "Piercing Glove"                     105     95          101         35            86           0                 0                 0          120           60             0           0             0               0      0       0       0       0       0       0       1
35	     0	    270	    1	    2	     1	          1	           1	      "Phoenix Soul Star"	               147	   183	       192	       40	         98	          0	                0	              0          101	       51	          0	          0	            0	            0	   0	   0	   0	   0	   0	   0	   1	
//====================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   SetAttr   DW   DK   FE   MG   DL   SU   RF
//====================================================================================================================================================================================================================================================================================================================================================
41		0		270		1		2		1			1			0			"Absolute Archangel Glove"			147		185			190			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
42		0		270		1		2		1			1			0			"Blessed Divine Glove"				147		187			192			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
43		0		270		1		2		1			1			0			"Bloodangel Glove"					147		189			194			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
44		0		270		1		2		1			1			0			"Darkangel Glove"					147		191			196			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
45		0		270		1		2		1			1			0			"Holydangel Glove"					147		193			198			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
46		0		270		1		2		1			1			0			"Awakening Glove"					147		195			200			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
47		0		270		1		2		1			1			0			"Blue Eyes Glove"					147		197			202			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
48		0		270		1		2		1			1			0			"Silver Heart Glove"				147		199			204			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
49		0		270		1		2		1			1			0			"Manticore Glove"					147		200			206			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
50		0		270		1		2		1			1			0			"Brilliant Glove"					147		202			208			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
51		0		270		1		2		1			1			0			"Apocalypse Glove"					147		204			210			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
52		0		270		1		2		1			1			0			"Pantera Glove"						147		190			195			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
53		0		270		1		2		1			1			0			"Tigris Glove"						147		192			196			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
54		0		270		1		2		1			1			0			"Lightning Glove"					147		204			210			40			98			0				0				300			101			51				0			0			0				0		0	0	0	0	0	0	3	
//Type	Slot	Skill	Width	Height	HaveSerial	HaveOption	DropItem	Name								Level	DamageMin	DamageMax	AttackSpeed	Durability	MagicDurability	MagicDamageRate	ReqLevel	ReqStrength	ReqDexterity	ReqEnergy	ReqVitality	ReqLeadership	None	DW	DK	FE	MG	DL	SU	RF
101		0		22		1		4		1			1			0			"Sonic Blade Sword"					137		120			130			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
102		0		22		1		4		1			1			0			"Cyclone Sword"						137		120			130			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
103		0		56		1		4		1			1			0			"Blast Breaker Sword"				139		100			125			47			90			0				109				300			91			73				17			0			0				0		0	0	0	3	0	0	0
104		0		56		1		4		1			1			0			"Asura Sword"						139		100			125			47			90			0				109				300			91			73				17			0			0				0		0	0	0	3	0	0	0
105		0		22		1		4		1			1			0			"Blessed Divine Sword"				86		230			240			55			168			0				0				300			140			50				0			0			0				0		0	3	0	3	0	0	0
106		0		0		1		3		1			1			0			"Blessed Divine ShortSword"			105		200         220			40			22			0				0				300			60			0				0			0			0				0		0	3	0	3	3	3	0
107		0		22		1		4		1			1			0			"Blood Angel Sword"					137		121			132			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
108		0		22		1		4		1			1			0			"Blood Angel Magic Sword"			137		121			132			42			90			0				110				300			193			53				0			0			0				0		0	0	0	3	0	0	0
109		0		0		1		3		1			1			0			"Blood Angel ShortSword"			105		110         115			40			22			0				0				300			60			0				0			0			0				0		0	3	0	3	3	3	0
110		0		22		1		4		1			1			0			"Dark Angel Sword"					137		122			133			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
111		0		22		1		4		1			1			0			"Dark Angel Magic Sword"			137		122			133			42			90			0				112				300			193			53				0			0			0				0		0	0	0	3	0	0	0
112		0		0		1		3		1			1			0			"Dark Angel ShortSword"				105		111         116			40			22			0				0				300			60			0				0			0			0				0		0	3	0	3	3	3	0
113		0		22		1		4		1			1			0			"Holy Angel Sword"					137		124			135			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
114		0		22		1		4		1			1			0			"Holy Angel Magic Sword"			137		124			135			42			90			0				113				300			193			53				0			0			0				0		0	0	0	3	0	0	0
115		0		0		1		3		1			1			0			"Holy Angel ShortSword"				105		113         118			40			22			0				0				300			60			0				0			0			0				0		0	3	0	3	3	3	0
116		0		22		1		4		1			1			0			"Awakening Sword"					137		126			137			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
117		0		22		1		4		1			1			0			"Awakening Magic Sword"				137		126			137			42			90			0				114				300			193			53				0			0			0				0		0	0	0	3	0	0	0
118		0		0		1		3		1			1			0			"Awakening ShortSword"				105		115         120			40			22			0				0				300			60			0				0			0			0				0		0	3	0	3	3	3	0
119		0		22		1		4		1			1			0			"BlueEyes Sword"					137		128			139			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
120		0		22		1		4		1			1			0			"BlueEyes Magic Sword"				137		128			139			42			90			0				115				300			193			53				0			0			0				0		0	0	0	3	0	0	0
121		0		0		1		3		1			1			0			"BlueEyes ShortSword"				105		117         122			40			22			0				0				300			60			0				0			0			0				0		0	3	0	3	3	3	0
122		0		22		1		4		1			1			0			"SilverHeart Sword"					137		130			141			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
123		0		22		1		4		1			1			0			"SilverHeart Magic Sword"			137		130			141			42			90			0				116				300			193			53				0			0			0				0		0	0	0	3	0	0	0
124		0		0		1		3		1			1			0			"SilverHeart ShortSword"			105		119         124			40			22			0				0				300			60			0				0			0			0				0		0	3	0	3	3	3	0
125		0		22		1		4		1			1			0			"Manticore Sword"					137		132			143			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
126		0		22		1		4		1			1			0			"Manticore Magic Sword"				137		132			143			42			90			0				118				300			193			53				0			0			0				0		0	0	0	3	0	0	0
127		0		0		1		3		1			1			0			"Manticore ShortSword"				105		121         126			40			22			0				0				300			60			0				0			0			0				0		0	3	0	3	3	3	0
128		0		22		1		4		1			1			0			"Brilliant Sword"					137		134			145			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
129		0		22		1		4		1			1			0			"Brilliant Magic Sword"				137		134			145			42			90			0				120				300			193			53				0			0			0				0		0	0	0	3	0	0	0
130		0		0		1		3		1			1			0			"Brilliant ShortSword"				105		123         128			40			22			0				0				300			60			0				0			0			0				0		0	3	0	3	3	3	0
131		0		22		1		4		1			1			0			"Apocalypse Sword"					137		136			147			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
132		0		22		1		4		1			1			0			"Apocalypse Magic Sword"			137		136			147			42			90			0				122				300			193			53				0			0			0				0		0	0	0	3	0	0	0
133		0		0		1		3		1			1			0			"Apocalypse ShortSword"				105		125         130			40			22			0				0				300			60			0				0			0			0				0		0	3	0	3	3	3	0
134		0		22		1		4		1			1			0			"Lightning Sword"					137		136			147			42			90			0				0				300			193			53				0			0			0				0		0	3	0	0	0	0	0
135		0		22		1		4		1			1			0			"Lightning Magic Sword"				137		136			147			42			90			0				122				300			193			53				0			0			0				0		0	0	0	3	0	0	0
136		0		0		1		3		1			1			0			"Lightning ShortSword"				105		125         130			40			22			0				0				300			60			0				0			0			0				0		0	3	0	3	3	3	0
//Type	Slot	Skill	Width	Height	HaveSerial	HaveOption	DropItem	Name								Level	DamageMin	DamageMax	AttackSpeed	Durability	MagicDurability	MagicDamageRate	ReqLevel	ReqStrength	ReqDexterity	ReqEnergy	ReqVitality	ReqLeadership	None	DW	DK	FE	MG	DL	SU	RF
150		0		56		1		4		1			1			0			"Blood Angel Magic Blade"			139		110			127			49			90			0				130				300			91			73				17			0			0				0		0	0	0	3	0	0	0
151		0		56		1		4		1			1			0			"Dark Angel Magic Blade"			139		112			129			49			90			0				132				300			91			73				17			0			0				0		0	0	0	3	0	0	0
152		0		56		1		4		1			1			0			"Holy Angel Magic Blade"			139		114			131			49			90			0				134				300			91			73				17			0			0				0		0	0	0	3	0	0	0
153		0		56		1		4		1			1			0			"Awakening Magic Blade"				139		116			133			49			90			0				136				300			91			73				17			0			0				0		0	0	0	3	0	0	0
154		0		56		1		4		1			1			0			"Blue Eyes Magic Blade"				139		118			135			49			90			0				138				300			91			73				17			0			0				0		0	0	0	3	0	0	0
155		0		56		1		4		1			1			0			"Silver Heart Magic Blade"			139		120			137			49			90			0				140				300			91			73				17			0			0				0		0	0	0	3	0	0	0
156		0		56		1		4		1			1			0			"Manticore Magic Blade"				139		122			139			49			90			0				142				300			91			73				17			0			0				0		0	0	0	3	0	0	0
157		0		56		1		4		1			1			0			"Brilliant Magic Blade"				139		124			141			49			90			0				144				300			91			73				17			0			0				0		0	0	0	3	0	0	0
158		0		56		1		4		1			1			0			"Apocalypse Magic Blade"			139		126			143			49			90			0				146				300			91			73				17			0			0				0		0	0	0	3	0	0	0
159		0		56		1		4		1			1			0			"Lightning Magic Blade"				139		126			143			49			90			0				146				300			91			73				17			0			0				0		0	0	0	3	0	0	0
//Type	Slot	Skill	Width	Height	HaveSerial	HaveOption	DropItem	Name								Level	DamageMin	DamageMax	AttackSpeed	Durability	MagicDurability	MagicDamageRate	ReqLevel	ReqStrength	ReqDexterity	ReqEnergy	ReqVitality	ReqLeadership	None	DW	DK	FE	MG	DL	SU	RF
170		0		22		1		4		1			1			0			"Xeno Blade Illusion"				150		120			130			42			90			0				100				300			193			53				0			0			0				0		0	3	0	0	0	0	0
171		0		22		1		4		1			1			0			"Rotary Blade Illusion"				150		120			130			42			90			0				102				300			193			53				0			0			0				0		0	3	0	0	0	0	0
172		0		22		1		4		1			1			0			"Absolute Archangel Illusion"		150		120			130			42			90			0				104				300			193			53				0			0			0				0		0	3	0	0	0	0	0
173		0		22		1		4		1			1			0			"Absolute Blessed Illusion"			150		120			130			42			90			0				106				300			193			53				0			0			0				0		0	3	0	0	0	0	0
174		0		22		1		4		1			1			0			"Blood Angel Illusion"				150		120			130			42			90			0				108				300			193			53				0			0			0				0		0	3	0	0	0	0	0
175		0		22		1		4		1			1			0			"Dark Angel Illusion"				150		120			130			42			90			0				110				300			193			53				0			0			0				0		0	3	0	0	0	0	0
176		0		22		1		4		1			1			0			"Holy Angel Illusion"				150		120			130			42			90			0				112				300			193			53				0			0			0				0		0	3	0	0	0	0	0
177		0		22		1		4		1			1			0			"Awakening Illusion"				150		120			130			42			90			0				114				300			193			53				0			0			0				0		0	3	0	0	0	0	0
178		0		22		1		4		1			1			0			"Blue Eyes Illusion"				150		120			130			42			90			0				116				300			193			53				0			0			0				0		0	3	0	0	0	0	0
179		0		22		1		4		1			1			0			"Silver Heart Illusion"				150		120			130			42			90			0				118				300			193			53				0			0			0				0		0	3	0	0	0	0	0
180		0		22		1		4		1			1			0			"Roaming Manticore Illusion"		150		120			130			42			90			0				120				300			193			53				0			0			0				0		0	3	0	0	0	0	0
181		0		22		1		4		1			1			0			"Brilliant Illusion"				150		120			130			42			90			0				122				300			193			53				0			0			0				0		0	3	0	0	0	0	0
182		0		22		1		4		1			1			0			"Dragon Blade Illusion"				150		120			130			42			90			0				124				300			193			53				0			0			0				0		0	3	0	0	0	0	0
183		0		22		1		4		1			1			0			"Blood Blade Illusion"				150		120			130			42			90			0				126				300			193			53				0			0			0				0		0	3	0	0	0	0	0
184		0		22		1		4		1			1			0			"Apocalypse Blade Illusion"			150		120			130			42			90			0				128				300			193			53				0			0			0				0		0	3	0	0	0	0	0
185		0		22		1		4		1			1			0			"Blade Illusion Flame"				150		450			600			42			90			0				130				300			193			53				0			0			0				0		0	3	0	0	0	0	0
186		0		22		1		4		1			1			0			"Lightning Illusion Flame"			150		450			600			42			90			0				130				300			193			53				0			0			0				0		0	3	0	0	0	0	0
end

1
//====================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   SetAttr   DW   DK   FE   MG   DL   SU   RF
//====================================================================================================================================================================================================================================================================================================================================================
0        0      0       1       3        1            1            1          "Small Axe"                          1       1           6           20            18           0                 0                 0          50            0              0           0             0               0      1       1       1       1       1       1       1
1        0      0       1       3        1            1            1          "Hand Axe"                           4       4           9           30            20           0                 0                 0          70            0              0           0             0               0      1       1       1       1       1       1       1
2        0      19      1       3        1            1            1          "Double Axe"                         14      14          24          20            26           0                 0                 0          90            0              0           0             0               0      0       1       0       1       1       0       0
3        0      19      1       3        1            1            1          "Tomahawk"                           18      18          28          30            28           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
4        0      0       1       3        1            1            1          "Elven Axe"                          26      26          38          40            32           0                 0                 0          50            70             0           0             0               0      1       0       1       1       0       1       0
5        0      19      1       3        1            1            1          "Battle Axe"                         30      36          44          20            36           0                 0                 0          120           0              0           0             0               0      0       2       1       1       0       0       0
6        0      19      1       3        1            1            1          "Nikea Axe"                          34      38          50          30            44           0                 0                 0          130           0              0           0             0               0      0       2       1       1       0       0       0
7        0      19      1       3        1            1            1          "Larkan Axe"                         46      54          67          25            55           0                 0                 0          140           0              0           0             0               0      0       3       0       1       0       0       0
8        0      19      1       3        1            1            1          "Crescent Axe"                       54      69          89          30            65           0                 0                 0          100           40             0           0             0               0      1       3       0       1       0       0       0
//====================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   SetAttr   DW   DK   FE   MG   DL   SU   RF
//====================================================================================================================================================================================================================================================================================================================================================
9        0      23      1       4        1            1            0          "Doblue Chaos Dragon Axe"            75      62          90         35            80           0                 0                 0          140           50             0           0             0               0      0       2       0       1       0       0       0
10       0      23      1       4        1            1            0          "Diamond_mine_sword"                 150     130         160         35            80           0                 0                 0          140           50             0           0             0               0      0       2       0       1       0       0       0
11       0      56      1       4        1            1            0          "Blood_Castle_sword"                 150     130         160         35            80           0                 0                 0          140           50             0           0             0               0      0       2       0       1       0       0       0
end

2
//====================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   SetAttr   DW   DK   FE   MG   DL   SU   RF
//====================================================================================================================================================================================================================================================================================================================================================
0        0      0       1       3        1            1            1          "Mace"                               7       7           13          15            21           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
1        0      19      1       3        1            1            1          "Morning Star"                       13      13          22          15            25           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
2        0      0       1       3        1            1            1          "Flail"                              22      22          32          15            32           0                 0                 0          80            50             0           0             0               0      0       1       0       1       1       0       1
3        0      19      1       3        1            1            1          "Great Hammer"                       38      45          56          15            50           0                 0                 0          150           0              0           0             0               0      0       1       0       1       0       0       1
4        0      19      1       3        1            1            1          "Crystal Morning Star"               66      78          107         30            72           0                 0                 0          130           0              0           0             0               0      1       1       1       1       0       0       1
5        0      23      1       4        1            1            1          "Crystal Sword"                      72      89          120         40            76           0                 0                 0          130           70             0           0             0               0      1       1       1       1       0       0       0
6        0      23      1       4        1            1            0          "Chaos Dragon Axe"                   75      102         130         35            80           0                 0                 0          140           50             0           0             0               0      0       2       0       1       0       0       0
7        0      0       1       3        1            1            1          "Elemental Mace"                     90      62          80          50            50           0                 0                 0          15            42             0           0             0               0      0       0       1       0       0       0       0
8        0      66      1       3        1            1            1          "Battle Scepter"                     54      41          52          45            40           0                 3                 0          80            17             0           0             0               0      0       0       0       0       1       0       0
9        0      66      1       3        1            1            1          "Master Scepter"                     72      57          68          45            45           0                 20                0          87            18             0           0             0               0      0       0       0       0       1       0       0
10       0      66      1       4        1            1            1          "Great Scepter"                      82      74          85          45            65           0                 35                0          100           21             0           0             0               0      0       0       0       0       1       0       0
11       0      66      1       4        1            1            1          "Lord Scepter"                       98      91          102         40            72           0                 52                0          105           23             0           0             0               0      0       2       0       0       1       0       0
12       0      66      1       4        1            1            1          "Great Lord Scepter"                 140     108         120         40            84           0                 67                0          90            20             0           0             0               0      0       2       0       0       1       0       0
13       0      66      1       4        1            1            1          "Divine Scepter of Archangel"        150     200         223         45            90           0                 138               0          75            16             0           0             0               0      0       0       0       0       1       0       0
14       0      66      1       4        1            1            1          "Soleil Sceptor"                     146     130         153         40            95           0                 84                0          80            15             0           0             0               0      0       0       0       0       1       0       0
15       0      66      1       4        1            1            1          "Shining Scepter"                    110     99          111         40            78           0                 60                0          108           22             0           0             0               0      0       0       0       0       1       0       0
16       0      0       1       3        1            1            1          "Frost Mace"                         121     106         146         50            80           0                 0                 0          27            19             0           0             0               0      0       0       1       0       0       0       0
17       0      66      1       4        1            1            1          "Absolute Scepter"                   135     114         132         40            90           0                 72                0          119           24             0           0             0               0      0       0       0       0       1       0       0
18       0      66      1       4        1            1            1          "Striker Scepter"                    147     112         124         40            86           0                 70                0          87            20             0           0             0               0      0       0       0       0       1       0       0
//====================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   SetAttr   DW   DK   FE   MG   DL   SU   RF
//====================================================================================================================================================================================================================================================================================================================================================
19		0		66		1		4		1			1			0				"Thunderbolt"					135		116			135			45			90			0				72				300			119			24				0			0			0				0		0	0	0	0	3	0	0
20		0		19		2		3		1			1			0				"Horn of Steal"					66		80			110			35			72			0				0				300			130			0				0			0			0				0		0	3	0	0	0	0	0
22      0       56      1       2       1           1           1               "Mace Of King"                  133     91          99          35          90          0               0                 0          53            176            0           0             0               0         2     2    0    2    2    2    0
23      0       56      1       2       1           1           1               "Mace Of King-V1"               183     171         199          35          90          0               0                 0          53            176            0           0             0               0         2     2    0    2    2    2    0
24      0       56      1       2       1           1           1               "Mace Of King-V2"               233     161         199         35          90          0               0                 0          53            176            0           0             0               0         2     2    0    2    2    2    0
//Type	Slot	Skill	Width	Height	HaveSerial	HaveOption	DropItem		Name							Level	DamageMin	DamageMax	AttackSpeed	Durability	MagicDurability	MagicDamageRate	ReqLevel	ReqStrength	ReqDexterity	ReqEnergy	ReqVitality	ReqLeadership	None	DW	DK	FE	MG	DL	SU	RF
25		0		66		1		4		1			1			0				"Blessed Divine Scepter"		150		200			223			45			90			0				138				300			75			16				0			0			0				0		0	0	0	0	3	0	0
26		0		0		1		3		1			1			0				"Blessed Divine Mace"			121		106			146			50			80			0				0				300			27			19				0			0			0				0		0	0	3	0	0	0	0
27		0		66		1		4		1			1			0				"Blood Angel Scepter"			150		150			160			45			90			0				138				300			75			16				0			0			0				0		0	0	0	0	3	0	0
28		0		0		1		3		1			1			0				"Blood Angel Mace"				121		106			146			50			80			0				0				300			27			19				0			0			0				0		0	0	3	0	0	0	0
29		0		66		1		4		1			1			0				"Dark Angel Scepter"			150		152			162			45			90			0				138				300			75			16				0			0			0				0		0	0	0	0	3	0	0
30		0		0		1		3		1			1			0				"Dark Angel Mace"				121		108			148			50			80			0				0				300			27			19				0			0			0				0		0	0	3	0	0	0	0
31		0		66		1		4		1			1			0				"Holy Angel Scepter"			150		154			164			45			90			0				138				300			75			16				0			0			0				0		0	0	0	0	3	0	0
32		0		0		1		3		1			1			0				"Holy Angel Mace"				121		110			150			50			80			0				0				300			27			19				0			0			0				0		0	0	3	0	0	0	0
33		0		66		1		4		1			1			0				"Awakening Scepter"				150		156			166			45			90			0				138				300			75			16				0			0			0				0		0	0	0	0	3	0	0
34		0		0		1		3		1			1			0				"Awakening Mace"				121		112			152			50			80			0				0				300			27			19				0			0			0				0		0	0	3	0	0	0	0
35		0		66		1		4		1			1			0				"BlueEyes Scepter"				150		158			168			45			90			0				138				300			75			16				0			0			0				0		0	0	0	0	3	0	0
36		0		0		1		3		1			1			0				"BlueEyes Mace"					121		114			154			50			80			0				0				300			27			19				0			0			0				0		0	0	3	0	0	0	0
37		0		66		1		4		1			1			0				"SilverHeart Scepter"			150		160			170			45			90			0				138				300			75			16				0			0			0				0		0	0	0	0	3	0	0
38		0		0		1		3		1			1			0				"SilverHeart Mace"				121		116			156			50			80			0				0				300			27			19				0			0			0				0		0	0	3	0	0	0	0
39		0		66		1		4		1			1			0				"Manticore Scepter"				150		162			172			45			90			0				138				300			75			16				0			0			0				0		0	0	0	0	3	0	0
40		0		0		1		3		1			1			0				"Manticore Mace"				121		118			158			50			80			0				0				300			27			19				0			0			0				0		0	0	3	0	0	0	0
41		0		66		1		4		1			1			0				"Brilliant Scepter"				150		164			174			45			90			0				138				300			75			16				0			0			0				0		0	0	0	0	3	0	0
42		0		0		1		3		1			1			0				"Brilliant Mace"				121		120			160			50			80			0				0				300			27			19				0			0			0				0		0	0	3	0	0	0	0
